Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,Links_Rechts,Liberal_Konservativ,Elected,x,y
Simon Gonçalves,EDU,Yes,No,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Yes,4,Rather no,Yes,No,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,Yes,Yes,No,Rather yes,Rather yes,No,Yes,Rather no,Rather no,Yes,Rather yes,Yes,Yes,Rather yes,Rather yes,Rather no,Yes,Rather no,Yes,Yes,Yes,Rather no,Yes,Rather yes,Rather yes,Rather no,Yes,No,7,1,7,-29.0,-9.0,1,-0.5215311004784688,0.3258426966292135
Tobias Kipfer,EDU,Rather no,Yes,Rather yes,Rather yes,Rather no,Yes,Yes,Rather no,No,No,7,Yes,Rather no,Rather no,Yes,Yes,Rather yes,Yes,Rather yes,No,No,No,Yes,Rather no,No,Yes,Yes,Yes,Yes,No,Rather no,Rather yes,No,Yes,Rather yes,No,No,Yes,No,No,No,Rather no,No,Rather yes,Rather yes,Yes,Yes,Yes,2,6,2,36.5,8.0,0,0.7320574162679425,-0.4382022471910112
Daniel Suter,EDU,Yes,Yes,Rather yes,Rather no,Yes,Rather no,Yes,No,No,Yes,7,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Rather no,Rather yes,Rather yes,No,Yes,Rather yes,Rather yes,No,No,No,No,Yes,Yes,Yes,Rather yes,Rather yes,1,6,1,35.5,8.5,0,0.7129186602870814,-0.4606741573033708
Andreas Graber,EDU,Rather yes,Rather yes,Yes,Rather no,Yes,Rather yes,Rather yes,Rather no,Rather no,No,6,Yes,Rather yes,Rather yes,No,Yes,Rather no,Rather yes,Rather no,Rather no,No,No,Rather yes,Rather no,No,Yes,Rather no,Rather yes,Rather yes,Yes,Rather no,Yes,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,4,5,3,22.0,11.0,0,0.4545454545454546,-0.5730337078651686
Markus Kasser,EDU,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,No,No,Rather yes,7,Yes,Yes,No,Yes,Yes,No,Yes,Rather yes,No,No,No,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Yes,Yes,Yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Yes,Rather no,Rather yes,Rather yes,No,No,Yes,Yes,Yes,Yes,Rather yes,2,5,4,20.0,11.5,0,0.4162679425837321,-0.595505617977528
Gnepf Patric,EDU,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather no,Rather yes,5,Rather yes,Rather no,Rather no,Yes,Yes,Rather no,Yes,Rather yes,Rather no,No,No,Rather yes,No,No,Rather no,No,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,Yes,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather no,No,No,Rather yes,Rather yes,Rather yes,Rather no,Yes,Rather yes,3,2,4,6.5,5.0,0,0.1578947368421053,-0.303370786516854
Zeno Dähler,EDU,No,Yes,Rather no,Yes,Yes,Yes,Yes,Yes,No,Yes,6,Yes,Yes,No,Yes,No,No,Rather yes,Yes,No,Yes,No,Rather yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Rather no,No,Rather no,Yes,No,No,No,No,No,No,Rather no,Rather no,Yes,Yes,6,4,4,13.0,-2.0,0,0.2822966507177034,0.011235955056179803
Margrit Suter,EDU,Yes,Yes,Rather yes,Rather no,Yes,No,Rather yes,No,No,Yes,7,Yes,Rather yes,Yes,Rather no,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Rather no,No,No,Rather no,Rather no,Rather no,No,Yes,Rather yes,Rather yes,No,No,No,No,Yes,Yes,Yes,Rather no,Rather yes,1,7,2,34.0,11.5,0,0.6842105263157894,-0.595505617977528
Claudia Schiesser - Gut,EDU,Yes,Yes,No,No,Rather no,Rather no,No,No,No,Yes,4,Rather no,Yes,No,No,Yes,No,Yes,Rather yes,No,No,No,Yes,Rather no,Rather no,Yes,Rather yes,Yes,No,Rather yes,Rather yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Rather yes,Yes,1,7,1,26.0,19.5,0,0.5311004784688995,-0.9550561797752808
Hanspeter Dähler,EDU,Rather no,Yes,Rather no,Yes,No,No,Yes,No,Yes,Yes,7,No,Yes,Rather no,Yes,Rather no,Yes,Rather no,Yes,Rather yes,No,Rather no,Rather no,Yes,Rather no,No,Yes,Yes,Yes,Yes,No,Rather yes,No,Yes,No,Yes,Rather no,Rather yes,Yes,Rather no,Rather no,No,Rather no,Rather no,Rather yes,Rather yes,Yes,No,7,1,4,-8.0,-14.5,0,-0.11961722488038273,0.5730337078651686
